Location,Carpet Area,Bedroom,Bathroom,Avaliability,Condition(Resale =  0/NewSale = 1),Super Area,Year of Construction,Floor,Flooring,Furnishing,Parking,Swimming Pool,Gymnasium,Power Backup,Jogging Track,Club House,Rain Water Harvesting,Court,Class_Price,Final Price
Whitefield,1695,3,3,Ready To Move,0,1695,2015,2,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 15,7500000
Old Madras Road,4275,4,5,Ready To Move,1,5030,2018,6,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 57,28100000
Harlur,2700,4,4,Ready To Move,0,3200,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 47,23500000
Nagondanahalli,2000,3,4,Ready To Move,0,2483,2014,0,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,1,Class 53,26500000
Sarjapur Road,1100,3,3,Ready To Move,0,1552,2018,1,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 20,9800000
Hennur,1575,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,0,0,0,0,Class 12,5512000
Whitefield,1009,3,2,Nov-22,1,1447,Under Construction,7,Wooden,Not Furnished,0,1,1,0,1,1,1,1,Class 19,9198000
JP Nagar Phase 9,912,2,2,Jul-20,1,1073,Under Construction,5,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 13,6500000
Bannerghatta Road,942,2,2,Dec-22,1,1109,Under Construction,6,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,0,1,Class 15,7500000
Raja Rajeshwari Nagar,984,2,2,Sep-19,1,1158,Under Construction,6,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 15,7500000
Electronic City Phase II,850,3,3,Jan-22,1,1000,Under Construction,9,Vitrified Tiles,Semi Furnished,1,0,1,1,0,0,1,0,Class 9,4476000
Devanahalli,645,2,1,Ready To Move,1,759,2019,2,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,0,Class 7,3500000
Whitefield,1150,3,3,Jan-20,0,1254,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,1,0,1,1,1,Class 12,5600000
Devanahalli,1000,2,2,Ready To Move,1,1080,2019,12,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 12,5600000
Doddaballapur Road,1700,3,3,Ready To Move,1,1704,2019,15,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 20,9900000
Yelahanka,1005,3,3,Jan-20,0,1257,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 14,7000000
Yelahanka,680,2,2,Jan-20,0,850,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 12,6000000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Old Madras Road,2200,3,3,Ready To Move,1,2640,2019,25,Marble Flooring,Not Furnished,0,1,1,0,1,1,1,1,Class 36,17800000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
